pdb,chain,lig,name,smiles,mw,additional_pdbs
1B0E,A,SEI,1-{3-METHYL-2-[4-(MORPHOLINE-4-CARBONYL)-BENZOYLAMINO]-BUTYRYL}-PYRROLIDINE-2-CARBOXYLIC,CC(C)[C@H](NC(=O)c1ccc(cc1)C(=O)N2CCOCC2)C(=O)N3CCC[C@H]3C(=O)N[C@@H](C(C)C)C(=O)C(F)(F)C(F)(F)F,632.619,NA
1BMA,A,0QH,(1R)-1-benzyl-1-methyl-1-(2-{[4-(1-methylethyl)phenyl]amino}-2-oxoethyl)-2-{(2S)-4-methyl-2-[(trifluoroacetyl)amino]pentanoyl}diazanium,CC(C)C[C@H](NC(=O)C(F)(F)F)C(=O)N[N@@+](C)(CC(=O)Nc1ccc(cc1)C(C)C)Cc2ccccc2,521.595,NA
1BTU,A,2BL,(3R)-3-ethyl-N-[(4-methylphenyl)sulfonyl]-L-aspartic,CC[C@H]([C@H](N[S](=O)(=O)c1ccc(C)cc1)C(O)=O)C(O)=O,315.342,NA
1C1M,A,XE,XENON,[Xe],131.293,"""['1L0Z_A', '1L1G_A', '1UO6_A', '2A7C_A', '2OQU_A']"""
1E34,B,TPX,"""(2S,3S)-3-FORMYL-2-({[(4-METHYLPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC""",CC[C@H](C=O)[C@@H](CN[S](=O)(=O)c1ccc(C)cc1)C(O)=O,313.369,"""['1E35_B', '1QGF_A']"""
1E35,B,TPX,"""(2S,3S)-3-FORMYL-2-({[(4-METHYLPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC""",CC[C@H](C=O)[C@@H](CN[S](=O)(=O)c1ccc(C)cc1)C(O)=O,313.369,NA
1E36,B,TPY,"""(2S,3S)-3-FORMYL-2-({[(4-NITROPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC""",CC[C@H](C=O)[C@@H](CN[S](=O)(=O)c1ccc(cc1)[N+]([O-])=O)C(O)=O,344.340,"""['1E37_B', '1E38_B']"""
1E37,B,TPY,"""(2S,3S)-3-FORMYL-2-({[(4-NITROPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC""",CC[C@H](C=O)[C@@H](CN[S](=O)(=O)c1ccc(cc1)[N+]([O-])=O)C(O)=O,344.340,NA
1E38,B,TPY,"""(2S,3S)-3-FORMYL-2-({[(4-NITROPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC""",CC[C@H](C=O)[C@@H](CN[S](=O)(=O)c1ccc(cc1)[N+]([O-])=O)C(O)=O,344.340,NA
1EAS,A,TFK,"""3-[[(METHYLAMINO)SULFONYL]AMINO]-2-OXO-6-PHENYL-N-[3,3,3-TRIFLUORO-1-(1-METHYLETHYL)-2-OXOPHENYL]-1(2H)-PYRIDINE""",CN[S](=O)(=O)NC1=CC=C(N(CC(=O)N[C@@H](C(C)C)C(=O)C(F)(F)F)C1=O)c2ccccc2,488.481,NA
1EAT,A,TFI,"""2-[5-METHANESULFONYLAMINO-2-(4-AMINOPHENYL)-6-OXO-1,6-DIHYDRO-1-PYRIMIDINYL]-N-(3,3,3-TRIFLUORO-1-ISOPROPYL-2-OXOPROPYL)ACETAMIDE""",CC(C)[C@H](NC(=O)CN1C(=O)C(=CN=C1c2ccc(N)cc2)N[S](C)(=O)=O)C(=O)C(F)(F)F,489.469,NA
1EAU,A,BDK,"""2-[5-AMINO-6-OXO-2-(2-THIENYL)-1,6-DIHYDROPYRIMIDIN-1-YL)-N-[3,3-DIFLUORO""",CC(C)[C@H](NC(=O)CN1C(=O)C(=CN=C1c2sccc2)N)C(=O)C(F)(F)C(=O)NCCN3CCOCC3,540.583,NA
1ELA,A,0Z1,6-ammonio-N-(trifluoroacetyl)-L-norleucyl-N-[4-(1-methylethyl)phenyl]-L-prolinamide,CC(C)c1ccc(NC(=O)[C@@H]2CCCN2C(=O)[C@H](CCCC[NH3+])NC(=O)C(F)(F)F)cc1,457.510,NA
1ELB,A,0Z4,6-ammonio-N-(trifluoroacetyl)-L-norleucyl-N-[4-(1-methylethyl)phenyl]-L-leucinamide,CC(C)C[C@H](NC(=O)[C@H](CCCC[NH3+])NC(=O)C(F)(F)F)C(=O)Nc1ccc(cc1)C(C)C,473.552,NA
1ELC,A,0Z3,6-ammonio-N-(trifluoroacetyl)-L-norleucyl-N-[4-(1-methylethyl)phenyl]-L-phenylalaninamide,CC(C)c1ccc(NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCC[NH3+])NC(=O)C(F)(F)F)cc1,507.568,NA
1ELD,E,0Z0,N-(trifluoroacetyl)-L-phenylalanyl-N-[4-(trifluoromethyl)phenyl]-L-alaninamide,C[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C(F)(F)F)C(=O)Nc2ccc(cc2)C(F)(F)F,475.384,NA
1ELE,E,0QN,N-(trifluoroacetyl)-L-valyl-N-[4-(trifluoromethyl)phenyl]-L-alaninamide,CC(C)[C@H](NC(=O)C(F)(F)F)C(=O)N[C@@H](C)C(=O)Nc1ccc(cc1)C(F)(F)F,427.341,NA
1ELF,A,BAF,(TERT-BUTYLOXYCARBONYL)-ALANYL-AMINO,C[C@@H](NC=O)NC(=O)[C@H](C)NC(=O)OC(C)(C)C,259.302,NA
1ELG,A,BAA,(TERT-BUTYLOXYCARBONYL)-ALANYL-ALANYL-AMINE,C[C@H](NC(=O)[C@H](C)NC(=O)OC(C)(C)C)C(N)=O,259.302,NA
1ESB,A,BBL,N-[(BENZYLOXY)CARBONYL]-L-ALANINE,C[C@H](NC(=O)OCc1ccccc1)C(O)=O,223.225,NA
1EST,A,TSU,PARA-TOLUENE,Cc1ccc(cc1)S(=O)(=O)O,172.202,NA
1FZZ,A,681,"""2-(5-AMINO-6-OXO-2-PHENYL-6H-PYRIMIDIN-1-YL)-N-[2-(5-TERT-BUTYL-1,3,4-OXADIAZOL-2-YL)-1-(METHYLETHYL)-2-HYDROXYETHYL]ACETAMIDE""",CC(C)[C@H](NC(=O)CN1C(=O)C(=CN=C1c2ccccc2)N)[C@H](O)c3oc(nn3)C(C)(C)C,454.522,NA
1GWA,A,IOD,IODIDE,[I-],126.904,['3E3T_A']
1HV7,A,616,N-[2-(1-FORMYL-2-METHYL-PROPYL)-1-(4-PIPERIDIN-1-YL-BUT-2-ENOYL)-PYRROLIDIN-3-YL]-METHANESULFONAMIDE,CC(C)[C@H](C=O)[C@H]1[C@@H](CCN1C(=O)\C=C\CN2CCCCC2)N[S](C)(=O)=O,399.548,NA
1INC,A,ICL,[1-(3-CHLORO-2-FORMYL-PHENYLCARBAMOYL)-2-METHYL-PROPYL]-CARBAMIC,CC(C)[C@H](NC(=O)OC(C)(C)C)C(=O)Nc1cccc(Cl)c1C=O,354.829,NA
1JIM,A,ICU,METHYL(2-ACETOXY-2-(2-CARBOXY-4-AMINO-PHENYL))ACETATE,COC(=O)[C@H](OC(C)=O)c1ccc(N)cc1C(O)=O,267.235,NA
1L0Z,A,XE,XENON,[Xe],131.293,NA
1L1G,A,XE,XENON,[Xe],131.293,NA
1MMJ,N,FR1,"""2-[4-[[(S)-1-[[(S)-2-[[(RS)-3,3,3-TRIFLUORO-1-ISOPROPYL-2-OXOPROPYL]AMINOCARBONYL]PYRROLIDIN-1-YL-]CARBONYL]-2-METHYLPROPYL]AMINOCARBONYL]BENZOYLAMINO]ACETIC""",CC(C)[C@H](NC(=O)c1ccc(cc1)C(=O)NCC(O)=O)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C(C)C)C(=O)C(F)(F)F,570.558,NA
1QGF,A,TPX,"""(2S,3S)-3-FORMYL-2-({[(4-METHYLPHENYL)SULFONYL]AMINO}METHYL)PENTANOIC""",CC[C@H](C=O)[C@@H](CN[S](=O)(=O)c1ccc(C)cc1)C(O)=O,313.369,NA
1UO6,A,XE,XENON,[Xe],131.293,NA
1UVO,A,CD,CADMIUM,[Cd+2],112.411,['1UVP_A']
1UVP,A,CD,CADMIUM,[Cd+2],112.411,NA
2A7C,A,XE,XENON,[Xe],131.293,NA
2BB4,A,PHE,PHENYLALANINE,N[C@@H](Cc1ccccc1)C(O)=O,165.189,['2BD2_A']
2BD2,A,PHE,PHENYLALANINE,N[C@@H](Cc1ccccc1)C(O)=O,165.189,NA
2DE8,A,TRS,"""2-AMINO-2-HYDROXYMETHYL-PROPANE-1,3-DIOL""",C(C(CO)(CO)[NH3+])O,122.143,NA
2EST,E,2Z5,6-ammonio-N-(trifluoroacetyl)-L-norleucyl-N-[4-(trifluoromethyl)phenyl]-L-alaninamide,C[C@H](NC(=O)[C@H](CCCC[NH3+])NC(=O)C(F)(F)F)C(=O)Nc1ccc(cc1)C(F)(F)F,457.391,NA
2FOE,A,217,"""(2S)-HEX-5-ENE-1,2-DIOL""",OC[C@@H](O)CCC=C,116.158,NA
2FOG,A,ETF,TRIFLUOROETHANOL,C(C(F)(F)F)O,100.040,['2FOH_A']
2FOH,A,ETF,TRIFLUOROETHANOL,C(C(F)(F)F)O,100.040,NA
2G4U,A,FLC,CITRATE,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O,189.100,NA
2IOT,A,CL5,N-(3-OXOPROPYL)GLYCINE,C(CNCC(=O)O)C=O,131.130,NA
2OQU,A,XE,XENON,[Xe],131.293,NA
2V0B,A,SE4,SELENATE,[O-][Se](=O)(=O)[O-],142.958,NA
2V35,A,J54,(2R)-3-{[(BENZYLAMINO)CARBONYL]AMINO}-2-HYDROXYPROPANOIC,O[C@H](CNC(=O)NCc1ccccc1)C(O)=O,238.240,NA
3E3T,A,IOD,IODIDE,[I-],126.904,NA
3E3T,A,I3C,"""5-amino-2,4,6-triiodobenzene-1,3-dicarboxylic""",c1(c(c(c(c(c1I)N)I)C(=O)O)I)C(=O)O,558.835,NA
