pdb,chain,lig,name,smiles,mw,additional_pdbs
1YSW,A,43B,"""3-NITRO-N-{4-[2-(2-PHENYLETHYL)-1,3-BENZOTHIAZOL-5-YL]BENZOYL}-4-{[2-(PHENYLSULFANYL)ETHYL]AMINO}BENZENESULFONAMIDE""",c1ccc(cc1)CCc2nc3cc(ccc3s2)c4ccc(cc4)C(=O)NS(=O)(=O)c5ccc(c(c5)[N+](=O)[O-])NCCSc6ccccc6,694.842,['2O21_A']
2O21,A,43B,"""3-NITRO-N-{4-[2-(2-PHENYLETHYL)-1,3-BENZOTHIAZOL-5-YL]BENZOYL}-4-{[2-(PHENYLSULFANYL)ETHYL]AMINO}BENZENESULFONAMIDE""",c1ccc(cc1)CCc2nc3cc(ccc3s2)c4ccc(cc4)C(=O)NS(=O)(=O)c5ccc(c(c5)[N+](=O)[O-])NCCSc6ccccc6,694.842,NA
2O22,A,LIU,"""N-[(4-{[1,1-dimethyl-2-(phenylthio)ethyl]amino}-3-nitrophenyl)sulfonyl]-4-(4,4-dimethylpiperidin-1-yl)benzamide""",CC1(CCN(CC1)c2ccc(cc2)C(=O)NS(=O)(=O)c3ccc(c(c3)[N+](=O)[O-])NC(C)(C)CSc4ccccc4)C,596.761,NA
4AQ3,A,398,"""N,N-dibutyl-4-chloranyl-1-[2-(3,4-dihydro-1H-isoquinolin-2-ylcarbonyl)-4-[(7-iodanylnaphthalen-2-yl)sulfonylcarbamoyl]phenyl]-5-methyl-pyrazole-3-carboxamide""",CCCCN(CCCC)C(=O)c1c(c(n(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccc(cc6c5)I)C)Cl,866.207,"""['4AQ3_B', '4AQ3_C', '4AQ3_D', '4AQ3_E', '4AQ3_F']"""
4AQ3,B,398,"""N,N-dibutyl-4-chloranyl-1-[2-(3,4-dihydro-1H-isoquinolin-2-ylcarbonyl)-4-[(7-iodanylnaphthalen-2-yl)sulfonylcarbamoyl]phenyl]-5-methyl-pyrazole-3-carboxamide""",CCCCN(CCCC)C(=O)c1c(c(n(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccc(cc6c5)I)C)Cl,866.207,NA
4AQ3,C,398,"""N,N-dibutyl-4-chloranyl-1-[2-(3,4-dihydro-1H-isoquinolin-2-ylcarbonyl)-4-[(7-iodanylnaphthalen-2-yl)sulfonylcarbamoyl]phenyl]-5-methyl-pyrazole-3-carboxamide""",CCCCN(CCCC)C(=O)c1c(c(n(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccc(cc6c5)I)C)Cl,866.207,NA
4AQ3,D,398,"""N,N-dibutyl-4-chloranyl-1-[2-(3,4-dihydro-1H-isoquinolin-2-ylcarbonyl)-4-[(7-iodanylnaphthalen-2-yl)sulfonylcarbamoyl]phenyl]-5-methyl-pyrazole-3-carboxamide""",CCCCN(CCCC)C(=O)c1c(c(n(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccc(cc6c5)I)C)Cl,866.207,NA
4AQ3,E,398,"""N,N-dibutyl-4-chloranyl-1-[2-(3,4-dihydro-1H-isoquinolin-2-ylcarbonyl)-4-[(7-iodanylnaphthalen-2-yl)sulfonylcarbamoyl]phenyl]-5-methyl-pyrazole-3-carboxamide""",CCCCN(CCCC)C(=O)c1c(c(n(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccc(cc6c5)I)C)Cl,866.207,NA
4AQ3,F,398,"""N,N-dibutyl-4-chloranyl-1-[2-(3,4-dihydro-1H-isoquinolin-2-ylcarbonyl)-4-[(7-iodanylnaphthalen-2-yl)sulfonylcarbamoyl]phenyl]-5-methyl-pyrazole-3-carboxamide""",CCCCN(CCCC)C(=O)c1c(c(n(n1)c2ccc(cc2C(=O)N3CCc4ccccc4C3)C(=O)NS(=O)(=O)c5ccc6ccc(cc6c5)I)C)Cl,866.207,NA
4IEH,A,1E9,"""N-(6-{4-[(4'-chlorobiphenyl-2-yl)methyl]piperazin-1-yl}-1,1-dioxido-1,2-benzothiazol-3-yl)-4-{[(2R)-4-(dimethylamino)-1-(phenylsulfanyl)butan-2-yl]amino}-3-nitrobenzenesulfonamide""",CN(C)CC[C@H](CSc1ccccc1)Nc2ccc(cc2[N+]([O-])=O)[S](=O)(=O)NC3=N[S](=O)(=O)c4cc(ccc34)N5CCN(CC5)Cc6ccccc6c7ccc(Cl)cc7,874.490,NA
4LVT,A,1XJ,"""4-(4-{[2-(4-chlorophenyl)-5,5-dimethylcyclohex-1-en-1-yl]methyl}piperazin-1-yl)-N-[(4-{[(2R)-4-(morpholin-4-yl)-1-(phenylsulfanyl)butan-2-yl]amino}-3-[(trifluoromethyl)sulfonyl]phenyl)sulfonyl]benzamide""",CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)N[S](=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)[S](=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7,974.613,['4LVT_B']
4LVT,B,1XJ,"""4-(4-{[2-(4-chlorophenyl)-5,5-dimethylcyclohex-1-en-1-yl]methyl}piperazin-1-yl)-N-[(4-{[(2R)-4-(morpholin-4-yl)-1-(phenylsulfanyl)butan-2-yl]amino}-3-[(trifluoromethyl)sulfonyl]phenyl)sulfonyl]benzamide""",CC1(C)CCC(=C(CN2CCN(CC2)c3ccc(cc3)C(=O)N[S](=O)(=O)c4ccc(N[C@H](CCN5CCOCC5)CSc6ccccc6)c(c4)[S](=O)(=O)C(F)(F)F)C1)c7ccc(Cl)cc7,974.613,NA
4LXD,A,1XV,"""4-(4-{[4-(4-chlorophenyl)-5,6-dihydro-2H-pyran-3-yl]methyl}piperazin-1-yl)-N-{[3-nitro-4-(tetrahydro-2H-pyran-4-ylamino)phenyl]sulfonyl}benzamide""",c1cc(ccc1C2=C(COCC2)CN3CCN(CC3)c4ccc(cc4)C(=O)NS(=O)(=O)c5ccc(c(c5)[N+](=O)[O-])NC6CCOCC6)Cl,696.213,NA
4MAN,A,1Y1,4-[4-({4'-chloro-3-[2-(dimethylamino)ethoxy]biphenyl-2-yl}methyl)piperazin-1-yl]-2-(1H-indol-5-yloxy)-N-({3-nitro-4-[(tetrahydro-2H-pyran-4-ylmethyl)amino]phenyl}sulfonyl)benzamide,CN(C)CCOc1cccc(c1CN2CCN(CC2)c3ccc(c(c3)Oc4ccc5c(c4)cc[nH]5)C(=O)NS(=O)(=O)c6ccc(c(c6)[N+](=O)[O-])NCC7CCOCC7)c8ccc(cc8)Cl,922.487,['4MAN_B']
4MAN,B,1Y1,4-[4-({4'-chloro-3-[2-(dimethylamino)ethoxy]biphenyl-2-yl}methyl)piperazin-1-yl]-2-(1H-indol-5-yloxy)-N-({3-nitro-4-[(tetrahydro-2H-pyran-4-ylmethyl)amino]phenyl}sulfonyl)benzamide,CN(C)CCOc1cccc(c1CN2CCN(CC2)c3ccc(c(c3)Oc4ccc5c(c4)cc[nH]5)C(=O)NS(=O)(=O)c6ccc(c(c6)[N+](=O)[O-])NCC7CCOCC7)c8ccc(cc8)Cl,922.487,NA
6GL8,A,F3Q,"""~{N}-(4-hydroxyphenyl)-3-[6-[[(3~{S})-3-(morpholin-4-ylmethyl)-3,4-dihydro-1~{H}-isoquinolin-2-yl]carbonyl]-1,3-benzodioxol-5-yl]-~{N}-phenyl-5,6,7,8-tetrahydroindolizine-1-carboxamide""",Oc1ccc(cc1)N(C(=O)c2cc(n3CCCCc23)c4cc5OCOc5cc4C(=O)N6Cc7ccccc7C[C@H]6CN8CCOCC8)c9ccccc9,710.817,"""['6O0O_A', '6O0O_C']"""
6O0K,A,LBM,"""4-{4-[(4'-chloro-5,5-dimethyl[3,4,5,6-tetrahydro[1,1'-biphenyl]]-2-yl)methyl]piperazin-1-yl}-N-[(3-nitro-4-{[(oxan-4-yl)methyl]amino}phenyl)sulfonyl]-2-[(1H-pyrrolo[2,3-b]pyridin-5-yl)oxy]benzamide""",CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C,868.439,"""['6O0L_A', '6O0L_C', '6O0M_A', '6O0P_A']"""
6O0K,A,2PE,NONAETHYLENE,C(COCCOCCOCCOCCOCCOCCOCCOCCO)O,414.488,NA
6O0L,A,LBM,"""4-{4-[(4'-chloro-5,5-dimethyl[3,4,5,6-tetrahydro[1,1'-biphenyl]]-2-yl)methyl]piperazin-1-yl}-N-[(3-nitro-4-{[(oxan-4-yl)methyl]amino}phenyl)sulfonyl]-2-[(1H-pyrrolo[2,3-b]pyridin-5-yl)oxy]benzamide""",CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C,868.439,NA
6O0L,A,PEG,DI(HYDROXYETHYL)ETHER,C(COCCO)O,106.120,"""['6O0L_C', '6O0M_A', '6O0P_A']"""
6O0L,C,LBM,"""4-{4-[(4'-chloro-5,5-dimethyl[3,4,5,6-tetrahydro[1,1'-biphenyl]]-2-yl)methyl]piperazin-1-yl}-N-[(3-nitro-4-{[(oxan-4-yl)methyl]amino}phenyl)sulfonyl]-2-[(1H-pyrrolo[2,3-b]pyridin-5-yl)oxy]benzamide""",CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C,868.439,NA
6O0L,C,PEG,DI(HYDROXYETHYL)ETHER,C(COCCO)O,106.120,NA
6O0M,A,LBM,"""4-{4-[(4'-chloro-5,5-dimethyl[3,4,5,6-tetrahydro[1,1'-biphenyl]]-2-yl)methyl]piperazin-1-yl}-N-[(3-nitro-4-{[(oxan-4-yl)methyl]amino}phenyl)sulfonyl]-2-[(1H-pyrrolo[2,3-b]pyridin-5-yl)oxy]benzamide""",CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C,868.439,NA
6O0M,A,PEG,DI(HYDROXYETHYL)ETHER,C(COCCO)O,106.120,NA
6O0O,A,F3Q,"""~{N}-(4-hydroxyphenyl)-3-[6-[[(3~{S})-3-(morpholin-4-ylmethyl)-3,4-dihydro-1~{H}-isoquinolin-2-yl]carbonyl]-1,3-benzodioxol-5-yl]-~{N}-phenyl-5,6,7,8-tetrahydroindolizine-1-carboxamide""",Oc1ccc(cc1)N(C(=O)c2cc(n3CCCCc23)c4cc5OCOc5cc4C(=O)N6Cc7ccccc7C[C@H]6CN8CCOCC8)c9ccccc9,710.817,NA
6O0O,C,F3Q,"""~{N}-(4-hydroxyphenyl)-3-[6-[[(3~{S})-3-(morpholin-4-ylmethyl)-3,4-dihydro-1~{H}-isoquinolin-2-yl]carbonyl]-1,3-benzodioxol-5-yl]-~{N}-phenyl-5,6,7,8-tetrahydroindolizine-1-carboxamide""",Oc1ccc(cc1)N(C(=O)c2cc(n3CCCCc23)c4cc5OCOc5cc4C(=O)N6Cc7ccccc7C[C@H]6CN8CCOCC8)c9ccccc9,710.817,NA
6O0P,A,LBM,"""4-{4-[(4'-chloro-5,5-dimethyl[3,4,5,6-tetrahydro[1,1'-biphenyl]]-2-yl)methyl]piperazin-1-yl}-N-[(3-nitro-4-{[(oxan-4-yl)methyl]amino}phenyl)sulfonyl]-2-[(1H-pyrrolo[2,3-b]pyridin-5-yl)oxy]benzamide""",CC1(CCC(=C(C1)c2ccc(cc2)Cl)CN3CCN(CC3)c4ccc(c(c4)Oc5cc6cc[nH]c6nc5)C(=O)NS(=O)(=O)c7ccc(c(c7)[N+](=O)[O-])NCC8CCOCC8)C,868.439,NA
6O0P,A,PEG,DI(HYDROXYETHYL)ETHER,C(COCCO)O,106.120,NA
